key,material,buildings,footprint_m2,floor_area_m2
building:material,brick,11574,3526334,8490442
roof:material,tar_paper,7086,1738571,4205849
roof:material,roof_tiles,5885,1184299,2134035
building:material,concrete,1094,770766,1903099
roof:material,eternit,5048,972560,1500839
building:material,metal,893,305155,1164753
building:material,wood,11541,889427,1051056
building:material,glass,738,148236,662732
building:material,plaster,587,113475,325543
roof:material,copper,640,88847,257295
building:material,cement_block,1023,163623,218630
roof:material,metal_sheet,972,137196,190847
roof:material,metal,537,46233,160899
roof:material,grass,118,50318,124323
building:material,stone,182,47491,104342
roof:material,roof_greening,110,23850,96426
roof:material,glass,465,34040,84258
building:material,copper,467,9776,71949
roof:material,wood,356,12780,69017
building:material,bricks,13,17413,59390
roof:material,concrete,178,16644,55839
building:material,slate,12,11032,54546
roof:material,thatch,624,34073,49011
building:material,metal_plates,112,15855,44915
building:material,timber_framing,189,27149,36713
building:material,marble,83,7530,31567
roof:material,plastic,836,26643,30252
building:material,steel,565,11647,28617
roof:material,slate,98,12940,22079
roof:material,steel,563,9085,18174
building:material,tiles,4,6054,16593
building:material,sandstone,4,5420,16258
roof:material,solar_panels,12,6830,15440
building:structure,steel_frame,8,7708,15416
roof:material,stone,64,10509,12613
building:material,metal_sheet,40,5671,11342
building:material,beton,8,4829,9657
building:material,corrugated_metal,5,4210,8420
building:facade:material,brick,4,1622,8108
building:material,mdf,1,1243,7459
roof:material,tile,60,3777,7045
roof:material,sedum,2,2698,5395
building:material,steel_plates,2,2468,4935
roof:material,asphalt,7,1236,4394
building:material,limestone,4,1772,3994
roof:material,cobber,3,1224,3672
roof:material,tin,27,1628,3256
roof:material,paving_stones,42,1483,3191
building:material,concrete_block,34,1580,3159
building:material,plastered,79,1327,2655
roof:material,straw,3,1277,2554
building:material,plasterboard,9,1106,2213
roof:material,marble,35,978,1957
building:material,masonry,4,1377,1833
building:material,concrete_elements,1,794,1587
building:material,reinforced_concrete_elements,1,670,1340
building:material,silicate_brick,6,606,1213
roof:material,slurry,2,594,1189
building:material,tar_paper,44,594,1187
roof:material,plants,2,574,1149
building:material,prefab_concrete,4,442,885
building:material,thatch,404,432,862
roof:material,reinforced_concrete,10,428,856
roof:material,acrylic_glass,7,417,833
roof:material,mixed,2,384,769
roof:material,plaster,21,360,720
building:material,paving_stones,25,359,718
roof:material,silicate_brick,3,358,717
roof:material,shingles,4,574,685
building:material,vinyl,2,673,673
building:material,watershed_brick,17,280,560
building:material,zink,3,279,559
building:material,concrete_reinforced,19,276,553
building:material,grass,31,261,522
building:material,plastic,36,492,514
roof:material,lead,1,251,502
building:material,mixed,2,227,455
roof:material,gravel,3,419,429
roof:material,corrugated,5,211,423
building:material,halftimber,1,201,402
roof:material,rubber,9,192,384
building:material,rubber,6,191,382
building:material,canvas,1,167,333
roof:material,metal_grid,1,154,307
building:material,traditional,1,148,295
building:material,zink_plates,1,143,286
roof:material,tents,1,124,248
building:structure,unreinforced_masonnry,1,115,231
roof:material,tar,1,115,230
roof:material,metal_plates,57,115,229
roof:material,tiles,8,106,213
roof:material,concrete_reinforced,40,95,190
building:material,mud,2,163,163
building:material,eternit,18,79,157
building:facade:material,wood,1,67,134
roof:material,brick,31,55,111
roof:material,prefab_concrete,3,46,93
roof:material,flat,1,40,80
roof:material,fiberglass,13,39,78
building:material,fiberglass,23,37,73
building:material,masonry_paint,2,36,72
building:material,fibreglass,79,35,70
roof:material,gold,29,31,64
building:material,eternite,5,31,62
building:material,gold,25,24,49
roof:material,tent_cloth,3,25,49
roof:material,sett,3,23,46
building:material,cobblestone,1,23,46
roof:material,cobblestone,1,23,46
building:material,reinforced_concrete,8,21,41
building:material,straw,1,16,32
roof:material,plastic_sheeting,1,16,32
roof:material,thatching,1,28,28
roof:material,asphalt_shingles,1,13,26
roof:material,fibreglass,28,10,21
building:structure,trailer,1,9,19
roof:material,gab,1,18,18
roof:material,seaweed,1,6,13
roof:material,asphalt_shingle,1,6,11
roof:material,plastered,9,4,9
roof:material,cioncrete,3,5,9
roof:material,corrugated_metal,2,4,8
roof:material,#302f41,1,2,5
roof:material,#cbc0b4,1,2,4
building:material,aluminium,1,2,4
roof:material,cement_block,2,1,2
roof:material,zink,1,1,2
building:material,træ,3,1,1
building:material,sticks,1,0,0
building:material,cobber,1,0,0
roof:material,#a8a8a4,1,0,0
building:material,zinc,1,0,0
roof:material,zinc,1,0,0
