key,material,buildings,footprint_m2,floor_area_m2
roof:material,roof_tiles,79556,9158619,19372406
roof:material,slate,16638,2795043,7352913
building:material,concrete,4161,1530983,6040872
roof:material,concrete,3810,1376330,5224888
roof:material,metal,6664,1964264,4911928
building:material,plaster,8442,1441092,4089622
roof:material,tar_paper,2280,1147969,4054724
building:material,glass,2725,1056910,3862797
building:material,brick,4231,1043188,3709268
building:facade:material,glass,415,422145,3252261
building:material,metal,1093,1008527,2500709
roof:material,grass,692,620236,1899824
roof:material,glass,1718,780782,1796744
building:material,stone,5907,666480,1621568
roof:material,gravel,654,379018,1582433
building:material,limestone,600,182196,769458
building:material,plastic,1424,645882,764053
building:material,mirror,87,83468,752766
roof:material,eternit,1716,376645,591046
building:material,wood,4312,249052,516972
roof:material,metal_sheet,792,136172,277709
building:material,sandstone,895,99969,274936
building:material,cement_block,331,86002,228668
building:facade:material,brick,178,84469,224652
roof:material,copper,304,84972,215111
roof:material,zinc,256,48906,176053
building:material,metal_plates,49,60148,173557
roof:material,asphalt,204,48716,166256
roof:material,zink,68,32631,132677
building:material,tiles,40,23630,128118
roof:material,wood,1068,36076,123488
roof:material,solar_panels,40,40682,89722
building:facade:material,stone,74,38846,88394
roof:material,stone,611,33623,83085
roof:material,tile,196,23430,68562
roof:material,tiles,97,21244,60521
building:material,copper,47,9066,58543
building:material,steel,55,21298,57875
roof:material,plastic,1106,302122,46240
building:facade:material,mirror,3,2355,45011
building:facade:material,concrete,42,12530,41632
building:material,many,47,9558,39061
roof:material,plants,11,17818,39018
roof:material,roof_greening,7,5274,35702
building:facade:material,wood,26,15268,32640
building:facade:material,metal,44,13980,31875
roof:material,slat,70,9859,31857
building:material,timber_framing,173,15388,31653
roof:material,mirror,3,4891,31568
building:material,masonry,51,7653,25676
building:material,marble,15,12743,24267
roof:material,steel,39,11028,21410
building:material,iron,2,9811,19622
roof:material,asbestos,33,10019,18940
building:material,grès_des_vosges,1,4569,18277
roof:material,brick,132,8168,16144
roof:material,cloth,1,7303,14607
roof:material,lead,29,5113,13792
building:material,bricks,31,4544,11542
building:material,buhrstone,71,5437,11470
building:material,plastic_sheeting,7,1605,9966
building:material,biscotte,4,1080,9646
building:material,hdf,10,3138,8490
roof:material,shadecloth,34,4769,8299
roof:material,limestone,24,3879,7633
building:material,gritstone,28,3037,7533
building:material,metal_wire,1,2370,7111
roof:material,paving_stones,6,6838,6861
building:material,iron_sheet,8,3504,6499
building:material,eternit,2,6313,6313
roof:material,concretec,1,369,6270
roof:material,tin,2,6008,6008
building:material,mixed,12,1623,5986
roof:material,cement,1,2981,5961
roof:material,aluminium,1,2808,5615
building:material,dry_stone,51,2810,5542
building:facade:material,plastic,1,1042,5210
roof:material,thatch,41,3390,5130
building:material,vinyl,35,2545,4610
roof:material,acrylic_glass,8,956,4501
roof:material,etfe,1,2245,4489
roof:material,forest,1,2244,4487
roof:material,solar,2,1322,4180
building:material,boue_séchée,1,1032,4128
roof:material,solar_photovoltaic_panel,1,2000,4000
building:material,slate,32,1444,3710
building:material,fence,1,1230,3690
building:material,mud,16,2140,3532
building:material,cement,11,1682,3356
building:material,earth,7,2760,3276
roof:material,gravelrce_:_direction_générale_des_impôts_-_cadastre._mise_à_jour_:_2011,1,639,3194
building:material,multi,8,1562,3123
building:material,traditional,13,1654,3070
roof:material,silver,3,1502,3003
roof:material,roof_slate,5,929,2752
building:material,bois,5,1529,2610
roof:material,oilcloth,1,1294,2588
roof:material,textile,3,1258,2517
building:material,mdf,5,1582,2424
building:material,laine_minérale,20,1204,2408
roof:material,sandstone,235,1152,2304
roof:material,clay_tiles,13,1082,2164
building:material,zink,3,638,2126
roof:material,gold,16,738,2106
roof:material,photovoltaic,2,1778,2069
building:material,#f6f0d0,4,399,1993
building:material,roof_tiles,5,705,1833
roof:material,roof_tuiles,2,872,1745
roof:material,roo,10,999,1725
building:material,granite,5,841,1704
building:structure,open_sided,1,1693,1693
building:material,concrete_masonry_unit,3,828,1657
building:material,pierre,4,544,1568
building:material,metal_sheet,6,841,1562
building:material,concrete_reinforced,2,314,1490
roof:material,darkslategray,1,361,1445
building:material,pierres_sèches,2,481,1384
roof:material,brown,4,739,1374
building:material,extruded_earth_blocks,1,674,1347
roof:material,solar_panel,1,1346,1346
building:material,semi-permanent,4,702,1292
building:material,adobe,2,430,1286
roof:material,metal_plates,4,640,1280
building:material,pierre_massive,1,625,1249
building:material,likings,1,610,1220
roof:material,bamboo,2,604,1208
roof:material,grey,5,603,1207
building:structure,metal,1,507,1014
building:material,met,3,506,1011
roof:material,sedum,1,975,975
building:material,fabric,1,956,956
roof:material,iron_sheet,12,723,922
building:material,plastered,1,459,917
building:structure,wood_frame,3,680,813
roof:material,1,1,402,804
building:material,loam,3,379,757
building:material,grey,3,290,753
building:material,reinforced_concrete,1,369,737
building:facade:material,concrete_block,2,366,732
building:structure,steel_frame,1,346,693
building:material,cement_blocks,1,165,658
building:material,béton,2,580,651
building:material,reed,13,439,648
roof:material,corrugated_iron_sheets,5,384,637
roof:material,roof,3,388,629
building:material,clinker_-_machefer,1,314,629
roof:material,everite,1,625,625
building:material,bois:_chene_et_chataignier,1,297,594
building:facade:material,marble,1,295,591
roof:material,sl,3,334,573
roof:material,vinyl,1,283,566
building:facade:material,cement_block,18,282,564
roof:material,metal_grid,1,269,538
roof:material,sett,2,269,538
building:material,block,3,401,519
building:material,3,3,220,509
building:material,zinc,1,248,495
building:material,stones,3,245,490
building:material,sand_stone,1,245,490
roof:material,roof:tiles,5,451,482
building:material,sandtsone,1,232,465
building:material,pierre_de_bormes,1,227,455
roof:material,roof_tilesqm,2,219,438
roof:material,oo,1,219,437
roof:material,l,1,210,419
roof:material,asphalt_shingle,6,225,382
building:material,rubble_masonry,2,187,374
roof:material,corrugated_iron,2,187,374
building:material,coating,3,185,370
building:material,drystone,2,179,358
building:material,tufa,1,158,317
building:material,brick_beton,1,77,309
roof:material,s,3,172,300
roof:material,m,1,300,300
roof:material,tôles,1,150,300
building:material,straw,3,235,271
building:material,cloth,5,239,239
roof:material,reed,8,230,230
roof:material,,1,112,223
building:material,t,1,109,218
building:material,pebbledash,1,105,210
roof:material,along,1,207,207
building:material,gold,7,99,199
roof:material,r,2,185,185
building:material,cement:brick,1,59,177
building:structure,wood,1,88,176
roof:material,thatching,1,163,163
building:material,pisé,1,160,160
roof:material,slates,1,76,152
roof:material,plexiglas,5,130,151
roof:material,roof_tile,1,75,150
building:material,bamboo,1,75,149
roof:material,fabric,2,143,143
roof:material,#be9885,2,137,137
building:material,building:material=plastic,2,68,136
roof:material,corrugated_steel,2,135,135
roof:material,roof:direction,1,58,116
building:material,mirrored-glass,2,22,112
building:material,clay,1,105,105
building:material,$,5,49,99
roof:material,chaume,1,49,98
roof:material,plaster,2,45,91
roof:material,18.6,1,43,86
building:material,steelq,1,42,85
building:material,no,1,42,84
building:material,plastre,1,76,76
roof:material,concete,2,72,72
roof:material,plate,1,62,62
roof:material,canvas,1,29,57
roof:material,round_pyramidal,4,48,48
roof:material,straw,1,24,47
roof:material,paving,1,41,41
roof:material,pantiles,1,40,40
roof:material,110,1,38,38
roof:material,material,1,35,35
building:material,tissue,1,35,35
roof:material,tar,1,29,29
building:material,aluminium,1,28,28
roof:material,paving_stone,2,16,24
roof:material,eternite,1,23,23
building:material,gravel,1,9,18
roof:material,concret,4,14,14
building:material,crepie,1,8,8
building:facade:material,gold,6,4,8
building:material,dirt,1,2,2
building:material,steel_geodesic_frame_covered_with_synthetic_waterproof_fabric.,1,0,0
building:material,#deb887,4,0,0
