key,material,buildings,footprint_m2,floor_area_m2
building:material,brick,503,239848,758955
building:material,concrete,193,166656,555959
building:material,wood,1762,198193,403379
roof:material,metal,505,157827,335618
roof:material,roof_tiles,995,150962,296571
roof:material,tar_paper,215,79424,219693
building:material,metal,101,71258,180478
roof:material,grass,461,66361,137684
building:material,glass,156,45833,130496
roof:material,copper,378,42792,107453
roof:material,glass,191,39659,95521
building:material,stone,299,43808,87635
roof:material,concrete,40,33181,85457
roof:material,slate,301,33503,82429
roof:material,plants,1,24523,73568
building:material,mirror,5,9981,32955
building:material,metal_plates,7,16047,32223
building:material,plaster,105,12570,32220
building:material,steel,6,11620,30069
roof:material,gravel,28,5277,16770
roof:material,asphalt,6,6637,13060
building:material,bricks,3,3146,12584
building:material,solar_panels,1,1418,9924
building:material,cement_block,5,4366,8410
building:material,semi-permanent,1,3750,7499
roof:material,gold,1,930,7443
roof:material,stone,108,2945,6664
roof:material,paved,1,2676,5353
building:facade:material,glass,1,1016,5082
building:facade:material,wood,11,2359,4925
roof:material,cobblestone,1,2414,4828
roof:material,shingles,44,2074,4147
building:material,pebbledash,3,894,3481
roof:material,eternit,16,1774,3474
roof:material,wood,34,1932,3410
roof:material,porcelain,8,1653,3305
roof:material,metal_sheet,29,1518,3035
building:material,plastic,4,2493,2972
roof:material,tiles,12,1036,2675
roof:material,tile,6,1394,2583
building:material,timber_framing,6,1121,2208
roof:material,zinc,3,543,2173
roof:material,shingle,2,544,1407
roof:material,plastic,3,498,994
roof:material,peat,3,495,990
building:material,copper,37,485,986
building:material,mdf,2,196,874
roof:material,plaster,5,289,579
building:material,vinyl,3,269,538
building:material,stucco,1,460,460
roof:material,thatch,4,423,423
roof:material,concrete:slabs,1,96,383
roof:material,asbestos,5,299,377
building:material,limestone,5,169,337
roof:material,steel,1,132,264
building:material,sandstone,1,129,259
roof:material,metal_plates,5,64,256
building:material,traditional,1,119,237
building:material,eternit,2,112,216
roof:material,brick,1,77,153
building:material,grass,1,65,129
building:material,slate,1,104,104
roof:material,cotton,1,51,102
building:material,tar_paper,4,46,92
roof:material,limestone,2,20,40
roof:material,asphalt_shingle,2,39,39
building:material,cement,1,4,4
roof:material,moss,1,0,0
