key,material,buildings,footprint_m2,floor_area_m2
building:material,brick,6257,3840576,12265758
building:material,plaster,3636,1687196,6041630
roof:material,roof_tiles,6448,1486305,3653479
building:material,wood,9918,1313952,2371390
roof:material,metal,1997,741912,2080280
building:material,glass,754,222711,1598327
building:material,concrete,451,346814,1232881
roof:material,tar_paper,1042,413323,1147155
building:material,metal,675,480858,1140475
roof:material,copper,439,272797,948820
roof:material,grass,491,201918,522971
building:material,cement_block,80,55214,269066
building:material,conrete,11,6000,190905
building:facade:material,concrete,136,69720,189642
building:material,other,71,41827,145247
building:material,stone,264,70587,144874
building:material,bricks,25,17058,127216
roof:material,glass,159,62696,120107
building:structure,confined_masonry,48,14709,109221
roof:material,roof_greening,19,17828,73793
roof:material,metal_sheet,110,30286,73465
roof:material,slate,114,28136,72488
roof:material,concrete,13,39920,72222
building:facade:material,brick,35,14813,69024
building:facade:material,plaster,26,12391,45999
building:material,metal_sheet,13,41887,45196
building:material,grass,2,11795,44565
roof:material,asphalt,11,17466,37928
building:material,marble,5,5997,32492
building:material,copper,20,5523,29001
roof:material,clay_tiles,64,11911,24018
building:facade:material,wood,99,9945,22529
roof:material,wood,69,7646,20098
roof:material,tiles,85,9152,19047
building:material,wood_shingles,8,2185,17937
building:material,lightsalmon,3,2428,16905
building:material,plastic,9,8362,15842
building:material,granite,1,6817,13633
building:facade:material,metal,2,2490,13602
building:material,tiles,2,1856,12819
roof:material,plastic,13,6627,12230
roof:material,tar:paper,38,5345,10690
roof:material,zinc,11,3691,10302
building:material,bric,1,4688,9376
building:material,pebbledash,4,4350,8701
roof:material,tile,20,5027,7971
building:material,sandstone,4,4199,6809
building:material,weathering_steel,1,2662,5323
building:material,plastering_outer_wall_only,4,2047,5189
roof:material,stone,2,2488,4977
roof:material,brick,3,2390,4631
building:material,trä,1,2247,4494
building:material,mirror,4,1129,3183
roof:material,thatch,8,1761,2745
roof:material,sedum,1,1222,2444
building:material,gabled,1,752,2257
building:material,2,1,1083,2165
building:material,metal_plates,1,1043,2087
building:structure,wood_frame,16,1722,2070
building:material,tar_paper,1,1028,2055
building:material,sand_stone,3,994,1952
roof:material,roof_tile,11,1301,1944
building:material,limestone,2,957,1913
building:material,eternit,10,1220,1712
building:facade:material,glass,1,412,1649
roof:material,eternit,6,1362,1611
building:material,steel,4,679,1310
roof:material,black,1,1296,1296
building:material,timber_framing,7,1062,1242
building:material,plastered,6,734,1167
building:material,vinyl,5,560,1121
roof:material,shingles,1,931,931
building:material,terrazzo,1,818,818
building:material,slag_bricks,1,372,745
roof:material,wooden_shingles,1,331,663
building:material,tile,2,514,514
building:material,wood:stone,1,240,480
building:material,mixed,1,463,463
building:material,oak_wood,1,221,442
building:material,white,1,187,374
building:material,1,1,168,335
building:material,roof_tiles,2,197,307
roof:material,plaster,1,137,274
roof:material,tin,1,212,212
roof:material,bituminous_shingles,1,101,202
building:material,slags,1,192,192
roof:material,gold,1,75,149
building:material,metal_grid,3,118,118
building:material,firebrick,1,100,100
roof:material,solar_panels,1,100,100
roof:material,hay,1,97,97
roof:material,tartan,1,79,79
roof:material,metal_grid,1,75,75
building:material,plastic_sheeting,1,37,74
roof:material,plants,1,70,70
building:material,presenning,2,26,52
building:facade:material,stone,1,32,32
roof:material,corrugated_iron,1,7,15
roof:material,sheet_metal,1,15,15
roof:material,skillion,1,7,7
building:material,fabric,8,0,0
building:material,acrylic_glass,1,343,0
roof:material,acrylic_glass,1,343,0
